date,description,amount
2024-01-01,OPENING BALANCE,5000.00
2024-01-03,STARBUCKS COFFEE,-5.50
2024-01-05,AMAZON PRIME SUBSCRIPTION,-14.99
2024-01-07,SALARY DEPOSIT,3500.00
2024-01-08,WHOLE FOODS MARKET,-127.43
2024-01-10,NETFLIX,-15.49
2024-01-11,UBER RIDE,-18.20
2024-01-12,PHARMACY CVS,-32.10
2024-01-14,ELECTRIC BILL,-89.00
2024-01-15,INTERNET SERVICE,-59.99
2024-01-16,CHIPOTLE,-12.75
2024-01-18,GAS STATION,-65.00
2024-01-20,SPOTIFY,-9.99
2024-01-22,GROCERY STORE,-93.20
2024-01-24,RESTAURANT DINNER,-48.00
2024-01-25,ATM WITHDRAWAL,-100.00
2024-01-26,AMAZON PURCHASE,-34.99
2024-01-28,UBER EATS,-22.50
2024-01-30,PHONE BILL,-45.00
2024-01-31,FREELANCE PAYMENT,800.00
